Symptom 1,Symptom 2,Symptom 3,Disease,Ayurvedic Remedy
difficulty in concentration,hyperactivity,,ADHD,"Brahmi, Shankhpushpi, Jatamansi"
muscle twitching,difficulty speaking,,ALS,"Ashwagandha, Brahmi, Shankhpushpi"
heartburn,bitter taste,nausea,Acid Reflux,"Licorice, Fennel Seeds, Ginger"
bloating,indigestion,abdominal pain,Acidity,"Fennel seeds, Ajwain, Triphala"
sneezing,runny nose,itchy eyes,Allergic Rhinitis,"Mulethi, Tulsi, Peppermint Oil"
loss of memory,confusion,difficulty concentrating,Alzheimer's,"Brahmi, Shankhpushpi, Ashwagandha"
irritability,confusion,aggression,Alzheimer's Disease,"Brahmi, Shankhpushpi, Ashwagandha"
fatigue,pale skin,weakness,Anemia,"Amla, Sesame seeds, Beetroot"
weakness,pale skin,shortness of breath,Anemia,"Beetroot, Spinach, Amla"
shortness of breath,chest pain,dizziness,Angina,"Arjuna, Garlic, Cinnamon"
difficulty sleeping,excessive worrying,,Anxiety,"Brahmi, Jatamansi, Ashwagandha"
severe abdominal pain,fever,chills,Appendicitis,"Ginger, Tulsi, Peppermint"
irregular heartbeat,shortness of breath,,Arrhythmia,"Arjuna, Brahmi, Guggul"
joint pain,stiffness,swelling,Arthritis,"Ashwagandha, Turmeric, Ginger"
sneezing,redness,stiffness,Asthma,"Turmeric, Black Pepper, Giloy"
rash,swelling,stiffness,Asthma,"Triphala, Mulethi, Ginger"
sneezing,swelling,itchy skin,Asthma,"Turmeric, Black Pepper, Giloy"
nausea,chills,dehydration,Asthma,"Neem, Fennel Seeds, Ajwain"
fatigue,chills,chest pain,Asthma,"Peppermint Oil, Mulethi, Tulsi"
fatigue,loss of appetite,stiffness,Asthma,"Neem, Amla, Tulsi"
rash,muscle pain,dizziness,Asthma,"Aloe Vera, Neem, Giloy"
vomiting,sore throat,stiffness,Asthma,"Turmeric, Black Pepper, Giloy"
nausea,sore throat,stiffness,Asthma,"Basil, Black Pepper, Honey"
sneezing,runny nose,itchy skin,Asthma,"Tulsi, Ginger, Honey"
cough,swelling,vomiting blood,Asthma,"Triphala, Mulethi, Ginger"
headache,sore throat,blurred vision,Asthma,"Ashwagandha, Brahmi, Tulsi"
body pain,muscle pain,chest pain,Asthma,"Neem, Amla, Tulsi"
