Symptom 1,Symptom 2,Symptom 3,Disease,Ayurvedic Remedy
fever,headache,muscle pain,Dengue,"Giloy, Papaya leaf extract"
cough,sore throat,fatigue,Common Cold,"Tulsi, Ginger, Honey"
joint pain,stiffness,swelling,Arthritis,"Ashwagandha, Turmeric, Ginger"
bloating,indigestion,abdominal pain,Acidity,"Fennel seeds, Ajwain, Triphala"
sneezing,runny nose,itchy eyes,Allergic Rhinitis,"Mulethi, Tulsi, Peppermint Oil"
chest pain,shortness of breath,,Asthma,"Vasaka, Mulethi, Ginger"
dry cough,throat irritation,,Bronchitis,"Honey, Licorice, Ginger"
fatigue,pale skin,weakness,Anemia,"Amla, Sesame seeds, Beetroot"
headache,sensitivity to light,,Migraine,"Brahmi, Shankhpushpi, Ginger"
burning sensation during urination,,,Urinary Tract Infection,"Coriander seeds, Barley Water, Cranberry"
itchy skin,rash,redness,Eczema,"Neem, Aloe Vera, Coconut oil"
nausea,vomiting,diarrhea,Food Poisoning,"Ginger, Mint, Lemon Water"
muscle cramps,weakness,irritability,Electrolyte Imbalance,"Coconut water, Banana, Rock salt"
insomnia,anxiety,restlessness,Stress,"Brahmi, Ashwagandha, Jatamansi"
dizziness,lightheadedness,nausea,Vertigo,"Ginger, Lemon Balm, Ginkgo Biloba"
swollen gums,bleeding gums,pain while chewing,Gingivitis,"Neem, Clove oil, Triphala"
itchy scalp,dandruff,hair loss,Dandruff,"Neem, Fenugreek seeds, Coconut oil"
pain in lower abdomen,irregular menstruation,,PCOS,"Shatavari, Cinnamon, Fenugreek"
weight gain,lethargy,cold intolerance,Hypothyroidism,"Ashwagandha, Guggul, Licorice"
increased thirst,frequent urination,fatigue,Diabetes,"Bitter gourd, Fenugreek seeds, Amla"
vomiting,nausea,abdominal cramps,Gastroenteritis,"Ginger, Mint, Coriander"
weight loss,excessive hunger,frequent urination,Type 1 Diabetes,"Bitter gourd, Fenugreek seeds, Amla"
fever,dry cough,tiredness,COVID-19,"Tulsi, Giloy, Black Pepper"
irregular heartbeat,shortness of breath,,Arrhythmia,"Arjuna, Brahmi, Guggul"
difficulty sleeping,excessive worrying,,Anxiety,"Brahmi, Jatamansi, Ashwagandha"
pain in back,muscle weakness,numbness,Sciatica,"Ashwagandha, Garlic, Nirgundi"
severe headache,nausea,blurred vision,Stroke,"Brahmi, Ashwagandha, Ginkgo Biloba"
dry skin,hair thinning,weight gain,Hypothyroidism,"Ashwagandha, Guggul, Licorice"
chest pain,nausea,shortness of breath,Heart Attack,"Arjuna, Garlic, Turmeric"
fever,yellowing of skin,abdominal pain,Hepatitis,"Kutki, Kalmegh, Bhringraj"
excessive thirst,blurred vision,fatigue,Type 2 Diabetes,"Amla, Bitter melon, Fenugreek"
joint pain,red swollen skin,fatigue,Lupus,"Giloy, Ashwagandha, Turmeric"
persistent cough,chest pain,weight loss,Tuberculosis,"Vasaka, Neem, Tulsi"
frequent infections,slow healing of cuts,,Diabetes,"Fenugreek, Amla, Bitter Gourd"
difficulty in concentration,hyperactivity,,ADHD,"Brahmi, Shankhpushpi, Jatamansi"
fever,night sweats,swollen lymph nodes,Lymphoma,"Tulsi, Ashwagandha, Turmeric"
